cn_title,en_title,rating,year
肖申克的救赎,/ The Shawshank Redemption,9.7,1994
霸王别姬,,9.6,1993
阿甘正传,/ Forrest Gump,9.5,1994
泰坦尼克号,/ Titanic,9.5,1997
千与千寻,/ 千と千尋の神隠し,9.4,2001
美丽人生,/ La vita è bella,9.5,1997
这个杀手不太冷,/ Léon,9.4,1994
星际穿越,/ Interstellar,9.4,2014
盗梦空间,/ Inception,9.4,2010
楚门的世界,/ The Truman Show,9.4,1998
辛德勒的名单,/ Schindler's List,9.5,1993
忠犬八公的故事,/ Hachi: A Dog's Tale,9.4,2009
海上钢琴师,/ La leggenda del pianista sull'oceano,9.3,1998
三傻大闹宝莱坞,/ 3 Idiots,9.2,2009
放牛班的春天,/ Les choristes,9.3,2004
机器人总动员,/ WALL·E,9.3,2008
疯狂动物城,/ Zootopia,9.2,2016
无间道,/ 無間道,9.3,2002
控方证人,/ Witness for the Prosecution,9.6,1957
大话西游之大圣娶亲,/ 西遊記大結局之仙履奇緣,9.2,1995
熔炉,/ 도가니,9.3,2011
教父,/ The Godfather,9.3,1972
触不可及,/ Intouchables,9.3,2011
寻梦环游记,/ Coco,9.1,2017
当幸福来敲门,/ The Pursuit of Happyness,9.2,2006
末代皇帝,/ The Last Emperor,9.3,1987
龙猫,/ となりのトトロ,9.2,1988
哈利·波特与魔法石,/ Harry Potter and the Sorcerer's Stone,9.2,2001
怦然心动,/ Flipped,9.1,2010
活着,,9.3,1994
蝙蝠侠：黑暗骑士,/ The Dark Knight,9.2,2008
指环王3：王者无敌,/ The Lord of the Rings: The Return of the King,9.3,2003
我不是药神,,9.0,2018
乱世佳人,/ Gone with the Wind,9.3,1939
飞屋环游记,/ Up,9.1,2009
素媛,/ 소원,9.3,2013
哈尔的移动城堡,/ ハウルの動く城,9.1,2004
让子弹飞,,9.0,2010
十二怒汉,/ 12 Angry Men,9.4,1957
海蒂和爷爷,/ Heidi,9.3,2015
何以为家,/ كفرناحوم,9.1,2018
猫鼠游戏,/ Catch Me If You Can,9.1,2002
摔跤吧！爸爸,/ Dangal,9.0,2016
天空之城,/ 天空の城ラピュタ,9.2,1986
鬼子来了,,9.3,2000
少年派的奇幻漂流,/ Life of Pi,9.1,2012
钢琴家,/ The Pianist,9.3,2002
指环王2：双塔奇兵,/ The Lord of the Rings: The Two Towers,9.2,2002
大话西游之月光宝盒,/ 西遊記第壹佰零壹回之月光寶盒,9.0,1995
死亡诗社,/ Dead Poets Society,9.2,1989
闻香识女人,/ Scent of a Woman,9.1,1992
绿皮书,/ Green Book,8.9,2018
大闹天宫,,9.4,1961(中国大陆)
罗马假日,/ Roman Holiday,9.1,1953
