title,rating,year,genre,director
The Shawshank Redemption,9.3,,D|r|a|m|a,
The Godfather,9.2,,"C|r|i|m|e|,| |D|r|a|m|a",
The Dark Knight,9.0,,"A|c|t|i|o|n|,| |C|r|i|m|e|,| |D|r|a|m|a",
The Godfather Part II,9.0,,"C|r|i|m|e|,| |D|r|a|m|a",
12 Angry Men,9.0,,"C|r|i|m|e|,| |D|r|a|m|a",
The Lord of the Rings: The Return of the King,9.0,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |F|a|n|t|a|s|y",
Schindler&apos;s List,9.0,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |H|i|s|t|o|r|y",
Pulp Fiction,8.9,,"C|r|i|m|e|,| |D|r|a|m|a",
The Lord of the Rings: The Fellowship of the Ring,8.9,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |F|a|n|t|a|s|y",
"Il buono, il brutto, il cattivo",8.8,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |W|e|s|t|e|r|n",
Forrest Gump,8.8,,"D|r|a|m|a|,| |R|o|m|a|n|c|e",
The Lord of the Rings: The Two Towers,8.8,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |F|a|n|t|a|s|y",
Fight Club,8.8,,D|r|a|m|a,
Inception,8.8,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Star Wars: Episode V - The Empire Strikes Back,8.7,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|n|t|a|s|y",
The Matrix,8.7,,"A|c|t|i|o|n|,| |S|c|i|-|F|i",
Goodfellas,8.7,,"B|i|o|g|r|a|p|h|y|,| |C|r|i|m|e|,| |D|r|a|m|a",
One Flew Over the Cuckoo&apos;s Nest,8.7,,D|r|a|m|a,
Interstellar,8.7,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |S|c|i|-|F|i",
Se7en,8.6,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
It&apos;s a Wonderful Life,8.6,,"D|r|a|m|a|,| |F|a|m|i|l|y|,| |F|a|n|t|a|s|y",
Shichinin no samurai,8.6,,D|r|a|m|a,
The Silence of the Lambs,8.6,,"C|r|i|m|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Saving Private Ryan,8.6,,"D|r|a|m|a|,| |W|a|r",
Cidade de Deus,8.6,,"C|r|i|m|e|,| |D|r|a|m|a",
The Green Mile,8.6,,"C|r|i|m|e|,| |D|r|a|m|a|,| |F|a|n|t|a|s|y",
La vita è bella,8.6,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |R|o|m|a|n|c|e",
Terminator 2: Judgment Day,8.6,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Star Wars,8.6,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|n|t|a|s|y",
Back to the Future,8.5,,"A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y|,| |S|c|i|-|F|i",
Sen to Chihiro no kamikakushi,8.6,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|m|i|l|y",
The Pianist,8.5,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |M|u|s|i|c",
Gisaengchung,8.5,,"D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Gladiator,8.5,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a",
Psycho,8.5,,"H|o|r|r|o|r|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
The Lion King,8.5,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a",
The Departed,8.5,,"C|r|i|m|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Hotaru no haka,8.5,,"A|n|i|m|a|t|i|o|n|,| |D|r|a|m|a|,| |W|a|r",
Whiplash,8.5,,"D|r|a|m|a|,| |M|u|s|i|c",
Spider-Man: Across the Spider-Verse,8.6,,"A|n|i|m|a|t|i|o|n|,| |A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e",
American History X,8.5,,"C|r|i|m|e|,| |D|r|a|m|a",
The Prestige,8.5,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |S|c|i|-|F|i",
Léon,8.5,,"A|c|t|i|o|n|,| |C|r|i|m|e|,| |D|r|a|m|a",
Seppuku,8.6,,"D|r|a|m|a|,| |M|y|s|t|e|r|y",
Casablanca,8.5,,"D|r|a|m|a|,| |R|o|m|a|n|c|e|,| |W|a|r",
The Usual Suspects,8.5,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
Intouchables,8.5,,"C|o|m|e|d|y|,| |D|r|a|m|a",
Nuovo Cinema Paradiso,8.5,,"D|r|a|m|a|,| |R|o|m|a|n|c|e",
Dune: Part Two,8.5,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a",
Modern Times,8.5,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |R|o|m|a|n|c|e",
Alien,8.5,,"H|o|r|r|o|r|,| |S|c|i|-|F|i",
Rear Window,8.5,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
C&apos;era una volta il West,8.5,,"D|r|a|m|a|,| |W|e|s|t|e|r|n",
Django Unchained,8.5,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |W|e|s|t|e|r|n",
City Lights,8.5,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |R|o|m|a|n|c|e",
Apocalypse Now,8.4,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |W|a|r",
Memento,8.4,,"M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
WALL·E,8.4,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|m|i|l|y",
Raiders of the Lost Ark,8.4,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e",
Das Leben der Anderen,8.4,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
12th Fail,8.8,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a",
Avengers: Infinity War,8.4,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Sunset Blvd.,8.4,,"D|r|a|m|a|,| |F|i|l|m|-|N|o|i|r",
Spider-Man: Into the Spider-Verse,8.4,,"A|n|i|m|a|t|i|o|n|,| |A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e",
Paths of Glory,8.4,,"D|r|a|m|a|,| |W|a|r",
Witness for the Prosecution,8.4,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
The Shining,8.4,,"D|r|a|m|a|,| |H|o|r|r|o|r",
The Great Dictator,8.4,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |W|a|r",
Aliens,8.4,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Inglourious Basterds,8.4,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |W|a|r",
The Dark Knight Rises,8.4,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Coco,8.4,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a",
Amadeus,8.4,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |M|u|s|i|c",
Toy Story,8.3,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,,"C|o|m|e|d|y|,| |W|a|r",
Oldeuboi,8.3,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
Avengers: Endgame,8.4,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a",
American Beauty,8.3,,D|r|a|m|a,
Good Will Hunting,8.3,,"D|r|a|m|a|,| |R|o|m|a|n|c|e",
